,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104015350342,10137.477524280548
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.821259021759033
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.19790196419
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.789626359939575
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.41596150398
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.89872527122
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.196002721786499
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.7488591671
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.90532755852
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.425354719161987
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.116533041
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.43689990044
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.667132139205933
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.786944150925
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.7324397563934326
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.915541410446
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.19407343864441
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.32288336754
18,2019-08-30,BUY,NVDA,378,4.154505729675293,27238.919717550278
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.930541753768921
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8768.145845651627
21,2019-09-30,BUY,TSLA,543,16.142000198364258,3.0397379398345947
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.659912347794
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.809753656387
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.5450689792633
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.761713266373
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.601801156998
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,209.9852545261383
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.9152472019196
29,2019-12-31,SELL,NVDA,11902,5.783753395080566,70018.14815545082
30,2019-12-31,BUY,CSCO,1731,40.4477424621582,3.1059534549713135
